# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1274
#@/user_id	e56f9083-50b5-461e-8d0a-678f2b113e81
a 	啊	c=1 d=0.00918669 t=1274
quan bu 	全部	c=1 d=0.263158 t=1274
quan gai lv 	全概率	c=1 d=1 t=1265
quan jiao 	全角	c=1 d=0.729789 t=1274
quan pai lie 	全排列	c=2 d=0.898092 t=1274
ran hou 	然後	c=1 d=0.0953692 t=1274
ren 	任	c=2 d=1.16563 t=1274
ren yi 	任意	c=3 d=0.369696 t=1274
ri chang 	日常	c=5 d=2.10171 t=1274
ri li 	日曆	c=1 d=0.612626 t=1274
rong chi 	容斥	c=1 d=0.0238732 t=1274
rong chi 	熔池	c=1 d=0.0237541 t=1274
ru guo 	如果	c=4 d=0.203571 t=1274
ru he 	如何	c=1 d=0.053397 t=1274
ruo 	若	c=8 d=2.3249 t=1274
san ci 	三次	c=1 d=0.315058 t=1274
shan chu 	刪除	c=2 d=0.504975 t=1274
shang 	上	c=7 d=2.47182 t=1274
shang 	尚	c=1 d=0.2334 t=1274
shang ci 	上次	c=1 d=1 t=1245
she 	設	c=5 d=0.535646 t=1274
shen me 	什麼	c=1 d=0.0566989 t=1274
sheng cheng 	生成	c=7 d=0.865804 t=1274
sheng cheng han shu 	生成函數	c=2 d=0.0359101 t=1274
sheng diao 	聲調	c=1 d=0.759572 t=1274
shi 	式	c=1 d=0.0135686 t=1274
shi 	是	c=17 d=5.37309 t=1274
shi 	時	c=12 d=2.65037 t=1274
shi 	試	c=0 d=0.1 t=1250
shi bian 	實變	c=3 d=2.27016 t=1274
shi fou 	是否	c=1 d=0.114178 t=1274
shi hou 	時候	c=3 d=0.164115 t=1274
shi jie 	世界	c=1 d=0.228779 t=1274
shi li 	實例	c=1 d=0.0812682 t=1274
shi pin 	視頻	c=4 d=1.43572 t=1274
shi wei 	視爲	c=1 d=0.360595 t=1274
shi yi xia 	試一下	c=1 d=1 t=1251
shi zhong 	始終	c=1 d=0.726149 t=1274
shou lian 	收斂	c=1 d=0.585669 t=1274
shu 	數	c=9 d=2.4675 t=1274
shu jia 	暑假	c=1 d=0.0368832 t=1274
shu lie 	數列	c=2 d=0.0321983 t=1274
shu mu 	數目	c=1 d=0.532592 t=1274
shu ru 	輸入	c=1 d=1 t=1246
shu ru fa 	輸入法	c=1 d=1 t=1250
shu xue 	數學	c=1 d=0.701173 t=1274
shu zi 	數字	c=3 d=0.643268 t=1274
si 	斯	c=0 d=0.1 t=1266
si ge 	四個	c=1 d=0.264477 t=1274
si ran 	似然	c=1 d=0.236928 t=1274
si xia 	私下	c=1 d=0.215456 t=1274
su miao 	素描	c=1 d=0.289384 t=1274
su shu 	素數	c=1 d=0.0123604 t=1274
su shu mi 	素數冪	c=1 d=0.010889 t=1274
sui ji 	隨機	c=2 d=0.869358 t=1274
sui ran 	雖然	c=1 d=0.0374406 t=1274
suo qiu 	所球	c=1 d=0.279431 t=1274
suo yi 	所以	c=2 d=0.896324 t=1274
suo you 	所有	c=1 d=0.0244775 t=1274
ta 	它	c=1 d=0.00975476 t=1274
ta men 	他們	c=1 d=0.514274 t=1274
ta men 	它們	c=2 d=1.06842 t=1274
te bie 	特別	c=2 d=0.0633329 t=1274
te jie 	特解	c=2 d=0.560088 t=1274
te zheng 	特徵	c=2 d=1.10597 t=1274
ti 	題	c=1 d=0.0175097 t=1274
ti qian 	提前	c=1 d=0.307279 t=1274
tian jia 	添加	c=1 d=0.0982736 t=1274
tiao guo 	跳過	c=1 d=0.10435 t=1274
tiao jian 	條件	c=4 d=1.06245 t=1274
ting shuo 	聽說	c=1 d=0.120032 t=1274
tong 	同	c=2 d=0.499577 t=1274
tong hua shun 	同花順	c=1 d=0.29671 t=1274
tong jie 	通解	c=1 d=0.543351 t=1274
tong li 	同理	c=3 d=2.54818 t=1274
tong wei 	同爲	c=1 d=0.491644 t=1274
tu 	圖	c=1 d=0.255381 t=1274
tu pian 	圖片	c=1 d=0.351692 t=1274
tu xiang 	圖像	c=2 d=0.765825 t=1274
tui jian 	推薦	c=1 d=0.364219 t=1274
tui lun 	推論	c=2 d=0.484676 t=1274
tuo pu 	拓撲	c=1 d=0.932394 t=1274
wan 	完	c=2 d=0.160967 t=1274
wan cheng 	完成	c=2 d=0.129742 t=1274
wan quan 	完全	c=1 d=0.985112 t=1274
wang 	往	c=2 d=0.866363 t=1274
wang luo 	網絡	c=1 d=0.937067 t=1274
wei 	爲	c=23 d=4.18903 t=1274
wei fen 	微分	c=1 d=0.923116 t=1274
wei fen fang cheng 	微分方程	c=1 d=0.341298 t=1274
wei feng 	微風	c=1 d=0.918512 t=1274
wei ji fen 	微積分	c=1 d=0.235746 t=1274
wei shen me 	爲什麼	c=2 d=0.202535 t=1274
wei xin 	微信	c=2 d=0.726845 t=1274
wei yi 	唯一	c=1 d=0.0107269 t=1274
wei zhi 	位置	c=3 d=0.309031 t=1274
wen 	問	c=1 d=0.0174224 t=1274
wen ti 	問題	c=7 d=0.45922 t=1274
wo 	我	c=26 d=2.15263 t=1274
wu 	五	c=1 d=0.0143357 t=1274
wu 	無	c=0 d=0.0227638 t=1274
wu ji yi 	無記憶	c=2 d=0.497252 t=1274
wu pin 	物品	c=1 d=0.0824965 t=1274
wu qiong 	無窮	c=1 d=0.594521 t=1274
wu ti 	物體	c=1 d=0.0263839 t=1274
wu xu 	無序	c=2 d=0.403499 t=1274
wu yi 	無意	c=1 d=0.0889216 t=1274
xi la 	希臘	c=2 d=1.26573 t=1274
xi shu 	係數	c=2 d=0.568553 t=1274
xi ti 	習題	c=1 d=0.970446 t=1274
xi wang 	希望	c=1 d=0.147342 t=1274
xia 	下	c=2 d=0.328221 t=1274
xia xue qi 	下學期	c=1 d=0.327915 t=1274
xian xing 	線性	c=2 d=0.704309 t=1274
xian zhi 	限制	c=1 d=0.0354196 t=1274
xian zhuang 	現狀	c=1 d=0.146607 t=1274
xiang 	像	c=1 d=0.26054 t=1274
xiang 	向	c=4 d=0.580688 t=1274
xiang 	想	c=3 d=0.411665 t=1274
xiang dang yu 	相當於	c=1 d=0.88692 t=1274
xiang tong 	相同	c=1 d=0.453845 t=1274
xiao guo 	效果	c=1 d=0.0916297 t=1274
xiao qiu 	小球	c=1 d=0.477114 t=1274
xie 	些	c=1 d=0.107528 t=1274
xie xie 	謝謝	c=1 d=0.154896 t=1274
xin dao 	信道	c=2 d=0.507506 t=1274
xin de 	心得	c=1 d=0.0531307 t=1274
xin sheng 	新生	c=1 d=0.167797 t=1274
xin yuan 	信源	c=2 d=0.488293 t=1274
xing 	型	c=6 d=0.878967 t=1274
xing shi 	形式	c=4 d=0.490843 t=1274
xing zhi 	性質	c=11 d=1.01645 t=1274
xu lie 	序列	c=1 d=0.272532 t=1274
xu yao 	需要	c=4 d=0.348265 t=1274
xuan 	選	c=2 d=1.20798 t=1274
xuan chu 	選出	c=1 d=0.0275983 t=1274
xuan qu 	選取	c=2 d=0.656982 t=1274
xuan ze 	選擇	c=1 d=0.438235 t=1274
xue qi 	學期	c=1 d=0.31346 t=1274
xue sheng 	學生	c=3 d=0.243329 t=1274
xue shu 	學術	c=1 d=0.292293 t=1274
xue xi 	學習	c=3 d=0.458744 t=1274
yan zheng 	驗證	c=1 d=0.213312 t=1274
yang 	樣	c=1 d=0.055299 t=1274
yao 	要	c=1 d=0.275271 t=1274
yao qiu 	要求	c=1 d=0.404542 t=1274
ye 	也	c=6 d=0.336682 t=1274
yi 	一	c=2 d=0.743077 t=1274
yi 	易	c=1 d=0.839457 t=1274
yi ban 	一般	c=3 d=0.562512 t=1274
yi ban na 	一般那	c=1 d=0.0160829 t=1274
yi bian 	一遍	c=1 d=0.161218 t=1274
yi ci 	依次	c=1 d=0.71177 t=1274
yi ge 	一個	c=7 d=2.01348 t=1274
yi hou 	以後	c=1 d=0.319819 t=1274
yi jie 	一節	c=1 d=0.126347 t=1274
yi jie 	一階	c=2 d=0.617623 t=1274
